Sector,Que. No.,Question,Helpful Key Point,Type
Social,Q625,Provide information on project(s) for which ongoing Rehabilitation and Resettlement (R&R) is being undertaken by the Company,-,Boolean
Social,Q714,How many Patents were filed & granted during the current year?,-,Boolean
Social,Q804,Does the company have policy/due diligence process for sourcing minerals as raw materials?,-,Boolean
Social,Q1050,Has the entity performed audit by DoT &  maintain compliance with EMF radiation levels set by local regulations and ICNIRP (International Commission on Non-Ionizing Radiation Protection)?,-,Boolean
Governance,Q1107,Does the organisation have Board Diversity Policy?,-,Boolean
Governance,Q1014,Presence of policy on appointment or reappointment of board of directors,-,Boolean
Governance,Q1052,Is the chairperson of the board an independent Director?,-,Boolean
Governance,Q1125,Does the company have separate roles for Chairman and CEO?,-,Boolean
Governance,Q1039,Does the company have lead independent Director on the Board?,-,Boolean
Governance,Q1012,Does the company ensure effectiveness of the board through Internal or external evaluation or assessment?,-,Boolean
Governance,Q1160,Does the company have processes in place to avoid/ manage conflict of interests involving members of the Board?,-,Boolean
Governance,Q1148,Does the Company conduct training and awareness programmes on any of the NGBRC principles for BOD,-,Boolean
Governance,Q1129,Independence of Chairperson of board committee (Risk Management),-,Boolean
Governance,Q1142,Independence of Chairperson of board committee (NRC),-,Boolean
Governance,Q1143,Independence of Chairperson of board committee (Audit),-,Boolean
